h3_index,lat,lon,hazard_probability_pct,hazard_probability_p10,hazard_probability_p90,confidence_overall,n_valid,n_total,depth_bin_m,depth_p10_m,depth_p90_m,depth_mean_m,is_perm_water,qa_flag,qa_reason,coverage_flag
88489e5519fffff,29.932419,-96.951235,0.6,0.6,0.6,0.1667,1,6,0.6-1.0m,0.537,0.778,0.657,False,False,cloud,cloud
8848954ca3fffff,27.927445,-97.179084,0.52,0.52,0.52,0.1667,1,6,,,,,False,False,cloud,cloud
884890b1c7fffff,27.958995,-96.95605,0.66,0.66,0.66,0.25,1,4,,,,,False,True,,good
88489030c7fffff,28.344185,-96.802323,0.815,0.803,0.827,0.3333,2,6,>2.0m,0.774,3.244,2.714,False,True,,good
8848956945fffff,28.104981,-97.204337,0.69,0.69,0.69,0.1429,1,7,,,,,False,False,cloud,cloud
88446db425fffff,30.316467,-96.733973,0.6133,0.542,0.694,0.75,3,4,0.3-0.6m,0.191,0.869,0.506,False,True,,good
88489e5a55fffff,29.815696,-96.721672,0.8,0.8,0.8,0.25,2,8,>2.0m,2.142,7.157,4.816,False,True,,good
8848916231fffff,29.178872,-97.302494,0.76,0.714,0.796,0.7143,5,7,>2.0m,0.215,6.346,3.714,False,True,,good
8848933b17fffff,29.477924,-96.385486,0.77,0.77,0.77,0.1429,1,7,1.0-2.0m,0.687,2.643,1.696,False,False,cloud,cloud
884891c153fffff,28.45457,-97.189487,0.62,0.62,0.62,0.25,1,4,,,,,False,True,,good
8848939411fffff,28.811761,-96.707409,0.52,0.52,0.52,0.25,1,4,>2.0m,0.265,8.426,3.647,False,True,,good
8848915191fffff,28.747252,-97.020369,0.6417,0.615,0.68,1.0,6,6,,,,,False,True,,good
884893398dfffff,29.555499,-96.369327,0.56,0.52,0.6,0.6,3,5,,,,,False,True,,good
8848932227fffff,29.573471,-96.556928,0.63,0.63,0.63,0.1429,1,7,,,,,False,False,cloud,cloud
884893745bfffff,29.558169,-96.268663,0.595,0.575,0.615,0.5,2,4,0.3-0.6m,0.264,1.015,0.581,False,True,,good
8848916e33fffff,29.349865,-97.282297,0.67,0.646,0.694,0.2857,2,7,0.6-1.0m,0.036,1.693,0.635,False,True,,good
88489304e7fffff,29.391357,-96.446489,0.58,0.58,0.58,0.1667,1,6,0.6-1.0m,0.265,0.981,0.659,False,False,cloud,cloud
884891c067fffff,28.446285,-97.204068,0.68,0.68,0.68,0.1429,1,7,0.0-0.1m,0.016,0.118,0.076,False,False,cloud,cloud
884890a88bfffff,28.195713,-96.83922,0.79,0.742,0.838,0.5,3,6,,,,,False,True,,good
88489e6a09fffff,30.348815,-96.954622,0.5833,0.535,0.66,0.8571,6,7,0.6-1.0m,0.311,0.998,0.681,False,True,,good
884890b4dbfffff,28.066078,-97.207092,0.91,0.894,0.926,0.2857,2,7,0.0-0.1m,0.011,0.014,0.013,False,True,,good
884890b617fffff,27.989398,-97.182651,0.83,0.83,0.83,0.25,1,4,0.0-0.1m,0.016,0.017,0.017,False,True,,good
88489144a3fffff,29.01308,-97.171587,0.76,0.728,0.792,0.4,2,5,1.0-2.0m,0.244,2.411,1.321,False,True,,good
8848903517fffff,28.435265,-96.857389,0.56,0.483,0.641,0.5714,4,7,0.1-0.3m,0.063,0.346,0.241,False,True,,good
8848902601fffff,28.518431,-96.917132,0.788,0.728,0.838,1.0,5,5,,,,,False,True,,good
8848933a2bfffff,29.46141,-96.424943,0.622,0.58,0.684,0.7143,5,7,,,,,False,True,,good
884895422bfffff,27.647038,-97.202886,0.84,0.84,0.84,0.1667,1,6,0.3-0.6m,0.092,0.455,0.319,False,False,cloud,cloud
8848915407fffff,28.788402,-97.173653,0.42,0.42,0.42,0.1667,1,6,0.0-0.1m,0.032,0.039,0.036,False,False,cloud,cloud
8848956f6dfffff,28.153287,-97.362474,0.7133,0.61,0.825,0.75,6,8,0.1-0.3m,0.093,0.407,0.261,False,True,,good
88489038c9fffff,28.388318,-96.639605,0.6633,0.602,0.714,0.75,3,4,0.0-0.1m,0.006,0.163,0.076,False,True,,good
88446da64bfffff,30.391995,-96.789036,0.6433,0.6,0.685,0.8571,6,7,0.0-0.1m,0.009,0.057,0.034,False,True,,good
8848933ac9fffff,29.47514,-96.486148,0.615,0.611,0.619,0.2857,2,7,,,,,False,True,,good
884891c32dfffff,28.40132,-97.161313,0.516,0.384,0.664,0.8333,5,6,0.3-0.6m,0.106,0.926,0.508,False,True,,good
88446db511fffff,30.324573,-96.719165,0.42,0.42,0.42,0.1429,1,7,1.0-2.0m,0.588,1.775,1.239,False,False,cloud,cloud
8848916059fffff,29.194325,-97.303412,0.8025,0.752,0.863,1.0,4,4,1.0-2.0m,0.154,2.289,1.166,False,True,,good
8848915143fffff,28.66377,-96.970431,0.555,0.543,0.567,0.5,2,4,>2.0m,0.956,9.624,5.808,False,True,,good
88446d359bfffff,30.760131,-96.5392,0.5175,0.409,0.624,0.5714,4,7,0.6-1.0m,0.086,1.94,0.953,False,True,,good
884890a9c7fffff,28.182991,-96.758559,0.88,0.88,0.88,0.1429,1,7,0.0-0.1m,0.059,0.108,0.093,False,False,cloud,cloud
88489e6b45fffff,30.335744,-96.872414,0.43,0.43,0.43,0.1667,1,6,,,,,False,False,cloud,cloud
8848916c5bfffff,29.365311,-97.283214,0.8067,0.758,0.846,0.75,3,4,0.6-1.0m,0.247,1.192,0.776,False,True,,good
884890a83dfffff,28.158936,-96.782237,0.545,0.517,0.573,0.3333,2,6,0.3-0.6m,0.13,0.77,0.518,False,True,,good
8848930099fffff,29.30139,-96.351233,0.7,0.7,0.7,0.1667,1,6,,,,,False,False,cloud,cloud
88446db69bfffff,30.320356,-96.871546,0.505,0.437,0.573,0.5,2,4,,,,,False,True,,good
884893258bfffff,29.770633,-96.678719,0.8867,0.86,0.924,0.5,3,6,>2.0m,0.84,4.891,3.128,False,True,,good
884890b5c9fffff,28.046399,-97.110898,0.76,0.76,0.76,0.25,1,4,0.1-0.3m,0.057,0.318,0.204,False,True,,good
8848933b67fffff,29.448202,-96.343657,0.83,0.766,0.878,1.0,7,7,,,,,False,True,,good
8848937635fffff,29.535463,-96.252401,0.63,0.63,0.63,0.1429,1,7,0.6-1.0m,0.294,0.984,0.66,False,False,cloud,cloud
8848916e81fffff,29.371818,-97.319034,0.86,0.86,0.86,0.3333,2,6,1.0-2.0m,0.472,3.36,1.35,False,True,,good
8848954005fffff,27.694685,-97.175694,0.5933,0.495,0.705,1.0,6,6,0.0-0.1m,0.023,0.115,0.063,False,True,,good
8848902427fffff,28.590206,-96.855906,0.6,0.6,0.6,0.2,1,5,,,,,False,False,cloud,cloud
884891d81dfffff,28.35707,-97.098584,0.7867,0.71,0.862,0.75,3,4,1.0-2.0m,1.478,1.634,1.552,False,True,,good
884891c905fffff,28.516363,-96.977208,0.7325,0.623,0.8,1.0,4,4,,,,,False,True,,good
88489374abfffff,29.627854,-96.257072,0.6667,0.58,0.74,0.5,3,6,1.0-2.0m,0.625,1.52,1.091,False,True,,good
8848902429fffff,28.574412,-96.865066,0.66,0.569,0.727,0.8,4,5,1.0-2.0m,0.454,1.791,1.209,False,True,,good
884891d81bfffff,28.364265,-97.114039,0.6533,0.548,0.74,0.5,3,6,0.6-1.0m,0.164,1.065,0.623,False,True,,good
884893318bfffff,29.503974,-96.55828,0.66,0.652,0.668,0.5,2,4,,,,,False,True,,good
88446db69dfffff,30.313092,-96.85587,0.8,0.728,0.872,0.4,2,5,1.0-2.0m,0.639,1.785,1.234,False,True,,good
88446d359dfffff,30.752825,-96.523514,0.5425,0.478,0.617,0.5714,4,7,0.3-0.6m,0.04,0.738,0.317,False,True,,good
8848932ac5fffff,29.646014,-96.444649,0.845,0.833,0.857,0.3333,2,6,1.0-2.0m,0.843,2.217,1.531,False,True,,good
884891700bfffff,29.046966,-97.309818,0.71,0.71,0.71,0.2,1,5,1.0-2.0m,0.183,2.487,1.145,False,False,cloud,cloud
8848930ec3fffff,29.386567,-96.3405,0.54,0.54,0.54,0.1667,1,6,,,,,False,False,cloud,cloud
88489e4253fffff,29.926677,-96.884946,0.54,0.54,0.54,0.2,1,5,,,,,False,False,cloud,cloud
8848902651fffff,28.509841,-96.94173,0.5933,0.56,0.635,0.8571,6,7,,,,,False,True,,good
884890b4ddfffff,28.0589,-97.191663,0.79,0.79,0.79,0.1429,1,7,,,,,False,False,cloud,cloud
884891c9a5fffff,28.577872,-96.990704,0.48,0.48,0.48,0.1667,1,6,0.3-0.6m,0.186,1.248,0.575,False,False,cloud,cloud
884891d06bfffff,28.274174,-97.24423,0.9,0.828,0.972,0.2857,2,7,0.1-0.3m,0.03,0.28,0.14,False,True,,good
8848933b65fffff,29.440634,-96.338233,0.8243,0.782,0.87,1.0,7,7,,,,,False,True,,good
8848903aa3fffff,28.380427,-96.644186,0.5967,0.546,0.642,0.5,3,6,0.1-0.3m,0.054,0.389,0.227,False,True,,good
884893b017fffff,29.086534,-96.82298,0.63,0.582,0.678,0.2857,2,7,1.0-2.0m,0.696,2.082,1.305,False,True,,good
884890273bfffff,28.543831,-96.853348,0.61,0.518,0.714,0.7143,5,7,0.6-1.0m,0.74,0.74,0.721,False,True,,good
8848914055fffff,28.832438,-97.02017,0.53,0.516,0.54,1.0,4,4,>2.0m,0.432,4.386,2.515,False,True,,good
88489aaa15fffff,31.11048,-97.506827,0.54,0.54,0.54,0.1429,1,7,,,,,False,False,cloud,cloud
8848932589fffff,29.763073,-96.673249,0.91,0.886,0.934,0.5,2,4,>2.0m,0.342,3.846,2.694,False,True,,good
88489aa88bfffff,31.202678,-97.512596,0.74,0.74,0.74,0.25,1,4,,,,,False,True,,good
88489542cbfffff,27.667748,-97.268946,0.58,0.58,0.58,0.1429,1,7,,,,,False,False,cloud,cloud
8848916233fffff,29.186422,-97.307997,0.682,0.61,0.754,0.8333,5,6,0.1-0.3m,0.018,0.796,0.22,False,True,,good
884890a83bfffff,28.166155,-96.79762,0.67,0.67,0.67,0.2,1,5,0.1-0.3m,0.045,0.444,0.212,False,False,cloud,cloud
8848915193fffff,28.754809,-97.025826,0.6633,0.495,0.815,1.0,6,6,0.3-0.6m,0.052,0.532,0.33,False,True,,good
884891d109fffff,28.283958,-97.189642,0.7225,0.656,0.795,1.0,4,4,0.0-0.1m,0.011,0.115,0.07,False,True,,good
8848956993fffff,28.203185,-97.275179,0.786,0.712,0.846,0.7143,5,7,0.3-0.6m,0.077,0.614,0.325,False,True,,good
8848933805fffff,29.508464,-96.397144,0.7533,0.61,0.885,1.0,6,6,0.3-0.6m,0.091,1.007,0.573,False,True,,good
88489e6b43fffff,30.343008,-96.888095,0.64,0.46,0.8,1.0,4,4,0.1-0.3m,0.041,0.254,0.142,False,True,,good
88489e5567fffff,29.918523,-96.899707,0.51,0.51,0.51,0.2,1,5,>2.0m,0.117,14.662,8.151,False,False,cloud,cloud
88489144a5fffff,29.005873,-97.15604,0.67,0.67,0.67,0.1667,1,6,,,,,False,False,cloud,cloud
88489e4a55fffff,29.978424,-96.695106,0.64,0.64,0.64,0.1667,1,6,>2.0m,2.036,8.951,6.041,False,False,cloud,cloud
8848930625fffff,29.299149,-96.431622,0.71,0.71,0.71,0.1429,1,7,0.0-0.1m,0.004,0.017,0.012,False,False,cloud,cloud
8848902603fffff,28.525991,-96.922569,0.815,0.778,0.84,1.0,4,4,,,,,False,True,,good
8848932b17fffff,29.640614,-96.358583,0.8029,0.726,0.876,1.0,7,7,1.0-2.0m,0.222,2.01,1.033,False,True,,good
88489331ddfffff,29.488273,-96.567535,0.55,0.55,0.55,0.1429,1,7,0.1-0.3m,0.066,0.229,0.157,False,False,cloud,cloud
884891576dfffff,28.705296,-97.113511,0.515,0.511,0.519,0.2857,2,7,,,,,False,True,,good
884893213dfffff,29.629784,-96.474087,0.65,0.65,0.65,0.2,1,5,0.1-0.3m,0.054,0.527,0.263,False,False,cloud,cloud
