h3_index,lat,lon,hazard_probability_pct,hazard_probability_p10,hazard_probability_p90,confidence_overall,n_valid,n_total,depth_bin_m,depth_p10_m,depth_p90_m,depth_mean_m,is_perm_water,qa_flag,qa_reason,coverage_flag
88446ecc01fffff,29.822812,-93.584269,0.5217,0.465,0.595,1.0,6,6,0.3-0.6m,0.156,0.699,0.509,False,True,,good
8848931939fffff,29.154541,-96.072655,0.65,0.462,0.838,1.0,5,5,1.0-2.0m,0.259,2.476,1.441,False,True,,good
88446cc5d9fffff,29.417062,-94.958574,0.4833,0.368,0.616,0.4286,3,7,,,,,False,True,,good
88446e1033fffff,29.904863,-93.899483,0.6,0.6,0.6,0.1667,1,6,0.1-0.3m,0.055,0.503,0.258,False,False,cloud,cloud
88446cb6c3fffff,29.561423,-95.821018,0.41,0.41,0.41,0.1667,1,6,>2.0m,0.258,10.087,6.05,False,False,cloud,cloud
88446c0a0bfffff,29.647572,-94.947645,0.8767,0.704,1.0,0.4286,3,7,,,,,False,True,,good
88446aa185fffff,31.208174,-94.105541,0.78,0.78,0.78,0.2857,2,7,,,,,False,True,,good
88446e8093fffff,29.734373,-94.162751,0.7557,0.674,0.854,1.0,7,7,,,,,False,True,,good
8848922113fffff,28.906563,-95.491097,0.7817,0.58,1.0,1.0,6,6,0.0-0.1m,0.016,0.206,0.092,False,True,,good
88446c7a6bfffff,29.850292,-94.725436,0.5,0.5,0.5,0.2,1,5,0.1-0.3m,0.058,0.663,0.262,False,False,cloud,cloud
8848936b6dfffff,29.607566,-95.823178,0.59,0.582,0.598,0.5,2,4,0.1-0.3m,0.047,0.63,0.291,False,True,,good
88446e5351fffff,29.816011,-93.400759,0.43,0.43,0.43,0.1429,1,7,,,,,False,False,cloud,cloud
88446c4d29fffff,29.815252,-94.469426,0.4,0.4,0.4,0.1429,1,7,,,,,False,False,cloud,cloud
884893ccb7fffff,29.117189,-96.025716,0.772,0.678,0.878,1.0,5,5,,,,,False,True,,good
8848954ca3fffff,27.927445,-97.179084,0.48,0.48,0.48,0.1667,1,6,,,,,False,False,cloud,cloud
88446ad58dfffff,30.775853,-93.535735,0.42,0.42,0.42,0.1429,1,7,0.1-0.3m,0.018,0.334,0.147,False,False,cloud,cloud
88446c01bbfffff,29.72265,-95.050676,0.56,0.56,0.56,0.25,1,4,0.0-0.1m,0.066,0.091,0.083,False,True,,good
88446aa84bfffff,31.185781,-93.989045,0.69,0.69,0.69,0.25,1,4,,,,,False,True,,good
8844459513fffff,30.007353,-93.024382,0.882,0.848,0.906,1.0,5,5,0.3-0.6m,0.192,0.432,0.31,False,True,,good
8844632ed7fffff,29.824284,-93.188222,0.84,0.768,0.948,0.8333,5,6,,,,,False,True,,good
88446e8759fffff,29.695355,-94.236111,0.83,0.8,0.86,1.0,5,5,0.1-0.3m,0.28,0.282,0.281,False,True,,good
8848956945fffff,28.104981,-97.204337,0.54,0.54,0.54,0.1429,1,7,,,,,False,False,cloud,cloud
88446c721bfffff,29.824179,-94.939571,0.55,0.518,0.582,0.5,2,4,0.1-0.3m,0.037,0.528,0.263,False,True,,good
88446c82bbfffff,29.28614,-95.3827,0.5629,0.456,0.694,1.0,7,7,0.0-0.1m,0.011,0.167,0.081,False,True,,good
88446c6305fffff,29.971898,-94.800084,0.39,0.39,0.39,0.1667,1,6,0.1-0.3m,0.037,0.297,0.166,False,False,cloud,cloud
884890b03dfffff,27.934868,-96.979671,0.59,0.59,0.59,0.25,1,4,,,,,False,True,,good
88446d00a7fffff,30.447362,-96.106071,0.6775,0.613,0.748,1.0,4,4,1.0-2.0m,0.249,5.008,1.887,False,True,,good
88446e4b01fffff,30.037698,-93.173552,0.44,0.372,0.512,0.8333,5,6,0.3-0.6m,0.256,0.734,0.498,False,True,,good
88446c44d9fffff,29.795603,-94.798376,0.8,0.646,0.958,0.6667,4,6,0.1-0.3m,0.049,0.287,0.189,False,True,,good
88446c91d1fffff,29.148785,-95.326903,0.655,0.611,0.691,1.0,4,4,1.0-2.0m,0.605,2.137,1.336,False,True,,good
88446ebb61fffff,29.856846,-94.156773,0.47,0.47,0.47,0.1667,1,6,,,,,False,False,cloud,cloud
88446a0c33fffff,31.346114,-93.626786,0.57,0.57,0.57,0.1429,1,7,,,,,False,False,cloud,cloud
88446c78e1fffff,29.957662,-94.719449,0.81,0.81,0.81,0.1429,1,7,0.3-0.6m,0.269,0.609,0.54,False,False,cloud,cloud
88446ab8ebfffff,31.086643,-94.031174,0.43,0.36,0.56,0.7143,5,7,>2.0m,1.068,7.665,4.363,False,True,,good
88489aa889fffff,31.195152,-97.506979,0.76,0.76,0.76,0.1429,1,7,0.0-0.1m,0.004,0.004,0.004,False,False,cloud,cloud
88446d076dfffff,30.407269,-96.180135,0.35,0.35,0.35,0.25,1,4,,,,,False,True,,good
88489265bbfffff,29.075113,-95.164262,1.0,1.0,1.0,0.1667,1,6,0.1-0.3m,0.127,0.187,0.174,False,False,cloud,cloud
88446c5ab5fffff,29.569682,-94.500647,1.0,1.0,1.0,1.0,7,7,0.6-1.0m,0.61,0.728,0.653,False,True,,good
88446e1883fffff,29.989764,-93.767742,0.8417,0.78,0.895,1.0,6,6,0.1-0.3m,0.049,0.56,0.248,False,True,,good
88446ec53bfffff,29.791652,-93.69251,0.61,0.579,0.649,1.0,4,4,0.0-0.1m,0.009,0.023,0.02,False,True,,good
88446ac4edfffff,30.920403,-93.554707,0.37,0.37,0.37,0.1667,1,6,0.3-0.6m,0.137,0.566,0.449,False,False,cloud,cloud
88446e0659fffff,30.071656,-94.073977,0.53,0.522,0.538,0.2857,2,7,0.3-0.6m,0.057,0.704,0.408,False,True,,good
88446aa6c1fffff,31.237272,-94.36869,0.77,0.626,0.914,0.3333,2,6,,,,,False,True,,good
88446e94e5fffff,29.641295,-94.279097,0.875,0.871,0.879,0.5,2,4,0.1-0.3m,0.091,0.273,0.194,False,True,,good
8848936193fffff,29.702266,-96.054156,0.6633,0.39,0.89,1.0,6,6,0.6-1.0m,0.088,1.181,0.695,False,True,,good
88446d990dfffff,29.885891,-96.103522,0.43,0.43,0.43,0.25,1,4,>2.0m,3.803,3.86,3.832,False,True,,good
884892a5c5fffff,28.635196,-95.867813,0.58,0.58,0.58,0.1667,1,6,0.1-0.3m,0.014,0.46,0.212,False,False,cloud,cloud
