h3_index,lat,lon,hazard_probability_pct,hazard_probability_p10,hazard_probability_p90,confidence_overall,n_valid,n_total,depth_bin_m,depth_p10_m,depth_p90_m,depth_mean_m,is_perm_water,qa_flag,qa_reason,coverage_flag
88446ecc01fffff,29.822812,-93.584269,0.5667,0.385,0.705,1.0,6,6,0.3-0.6m,0.169,0.712,0.522,False,True,,good
8848931939fffff,29.154541,-96.072655,0.51,0.418,0.622,1.0,5,5,1.0-2.0m,0.085,3.696,1.269,False,True,,good
8848930a23fffff,29.261086,-96.128063,0.516,0.434,0.592,0.8333,5,6,,,,,False,True,,good
88446e1033fffff,29.904863,-93.899483,0.67,0.646,0.694,0.3333,2,6,0.3-0.6m,0.15,0.62,0.475,False,True,,good
88446e8093fffff,29.734373,-94.162751,0.8357,0.796,0.872,1.0,7,7,,,,,False,True,,good
8848922113fffff,28.906563,-95.491097,1.0,1.0,1.0,1.0,6,6,0.1-0.3m,0.046,0.301,0.161,False,True,,good
88446c7a6bfffff,29.850292,-94.725436,0.475,0.413,0.521,0.8,4,5,0.1-0.3m,0.055,0.266,0.186,False,True,,good
8848936b6dfffff,29.607566,-95.823178,0.625,0.621,0.629,0.5,2,4,0.3-0.6m,0.107,0.779,0.4,False,True,,good
8848914053fffff,28.839653,-97.035675,0.55,0.55,0.55,0.3333,2,6,,,,,False,True,,good
88446c6b55fffff,30.019821,-94.651694,0.3733,0.356,0.388,0.5,3,6,0.1-0.3m,0.029,0.258,0.134,False,True,,good
88446e5351fffff,29.816011,-93.400759,0.455,0.375,0.527,0.5714,4,7,0.3-0.6m,0.12,0.63,0.314,False,True,,good
8848914719fffff,28.898028,-97.139716,0.544,0.482,0.608,0.7143,5,7,1.0-2.0m,0.339,3.489,1.668,False,True,,good
88446c4d29fffff,29.815252,-94.469426,0.44,0.44,0.44,0.1429,1,7,,,,,False,False,cloud,cloud
884890a2b1fffff,28.103697,-97.029123,0.47,0.47,0.47,0.1667,1,6,,,,,False,False,cloud,cloud
884893ccb7fffff,29.117189,-96.025716,0.74,0.676,0.804,0.4,2,5,1.0-2.0m,1.164,1.937,1.605,False,True,,good
8848926431fffff,29.020813,-95.186946,0.46,0.46,0.46,0.2,1,5,0.1-0.3m,0.155,0.155,0.155,False,False,cloud,cloud
884890b1c7fffff,27.958995,-96.95605,0.63,0.63,0.63,0.25,1,4,,,,,False,True,,good
8844632ed7fffff,29.824284,-93.188222,0.6,0.586,0.61,0.5,3,6,,,,,False,True,,good
88446c9047fffff,29.087067,-95.334269,0.868,0.814,0.956,1.0,5,5,,,,,False,True,,good
88446e8759fffff,29.695355,-94.236111,0.928,0.86,1.0,1.0,5,5,0.1-0.3m,0.164,0.226,0.22,False,True,,good
88446c721bfffff,29.824179,-94.939571,0.675,0.601,0.737,1.0,4,4,0.3-0.6m,0.095,0.75,0.405,False,True,,good
88446c82bbfffff,29.28614,-95.3827,0.7243,0.63,0.832,1.0,7,7,0.0-0.1m,0.009,0.045,0.027,False,True,,good
88446c6305fffff,29.971898,-94.800084,0.36,0.352,0.368,0.3333,2,6,0.3-0.6m,0.056,0.758,0.425,False,True,,good
88446d00a7fffff,30.447362,-96.106071,0.46,0.42,0.5,0.5,2,4,0.6-1.0m,0.073,1.373,0.616,False,True,,good
884890a127fffff,28.101843,-96.864056,0.6743,0.586,0.808,1.0,7,7,0.1-0.3m,0.07,0.27,0.196,False,True,,good
88446e4b01fffff,30.037698,-93.173552,0.41,0.41,0.41,0.1667,1,6,0.3-0.6m,0.273,0.578,0.431,False,False,cloud,cloud
88446c44d9fffff,29.795603,-94.798376,0.7325,0.528,0.943,0.6667,4,6,0.1-0.3m,0.047,0.277,0.182,False,True,,good
88446c91d1fffff,29.148785,-95.326903,0.965,0.93,1.0,1.0,4,4,0.1-0.3m,0.038,0.274,0.153,False,True,,good
884468d62bfffff,30.301191,-94.807656,0.455,0.395,0.515,0.4,2,5,0.0-0.1m,0.032,0.054,0.047,False,True,,good
88446ebb61fffff,29.856846,-94.156773,0.36,0.36,0.36,0.1667,1,6,,,,,False,False,cloud,cloud
8848930899fffff,29.360041,-96.178185,0.795,0.735,0.87,1.0,6,6,0.6-1.0m,0.59,1.296,0.974,False,True,,good
88446a0c33fffff,31.346114,-93.626786,0.67,0.67,0.67,0.1429,1,7,,,,,False,False,cloud,cloud
88446c78e1fffff,29.957662,-94.719449,0.53,0.488,0.56,0.4286,3,7,,,,,False,True,,good
88446d076dfffff,30.407269,-96.180135,0.535,0.355,0.715,0.5,2,4,0.3-0.6m,0.084,0.945,0.366,False,True,,good
88446c5ab5fffff,29.569682,-94.500647,1.0,1.0,1.0,1.0,7,7,1.0-2.0m,1.067,1.185,1.11,False,True,,good
88446e1883fffff,29.989764,-93.767742,0.805,0.741,0.857,0.6667,4,6,0.3-0.6m,0.052,0.687,0.303,False,True,,good
88446e51c7fffff,29.915259,-93.378554,0.365,0.361,0.369,0.5,2,4,0.1-0.3m,0.062,0.282,0.149,False,True,,good
88489542c9fffff,27.660195,-97.263516,1.0,1.0,1.0,0.25,1,4,,,,,False,True,,good
88446ec53bfffff,29.791652,-93.69251,0.6225,0.583,0.66,1.0,4,4,0.0-0.1m,0.011,0.036,0.029,False,True,,good
88489e5a55fffff,29.815696,-96.721672,0.61,0.61,0.61,0.125,1,8,0.6-1.0m,0.266,1.237,0.712,False,False,cloud,cloud
8848932189fffff,29.659203,-96.526131,0.54,0.54,0.54,0.1667,1,6,1.0-2.0m,0.596,1.752,1.28,False,False,cloud,cloud
88446e94e5fffff,29.641295,-94.279097,0.73,0.67,0.782,0.75,3,4,0.6-1.0m,0.528,0.732,0.641,False,True,,good
884468826dfffff,30.319908,-95.115084,0.32,0.32,0.32,0.25,1,4,>2.0m,1.079,2.981,2.299,False,True,,good
8848934367fffff,29.193748,-95.733772,0.445,0.433,0.457,0.3333,2,6,>2.0m,0.499,4.399,2.136,False,True,,good
