h3_index,lat,lon,hazard_probability_pct,hazard_probability_p10,hazard_probability_p90,confidence_overall,n_valid,n_total,depth_bin_m,depth_p10_m,depth_p90_m,depth_mean_m,is_perm_water,qa_flag,qa_reason,coverage_flag
88489370a9fffff,29.516097,-96.105439,0.46,0.46,0.46,0.125,1,8,,,,,False,False,cloud,cloud
8848902027fffff,28.486657,-96.709927,0.47,0.402,0.53,0.6,3,5,0.1-0.3m,0.016,0.29,0.121,False,True,,good
884892a5c5fffff,28.635196,-95.867813,0.53,0.498,0.562,0.3333,2,6,0.1-0.3m,0.01,0.478,0.204,False,True,,good
88489a9123fffff,30.577519,-97.299756,0.43,0.406,0.454,0.4,2,5,>2.0m,0.728,4.264,2.503,False,True,,good
8848934367fffff,29.193748,-95.733772,0.47,0.47,0.47,0.1667,1,6,>2.0m,0.813,5.001,2.457,False,False,cloud,cloud
8848916231fffff,29.178872,-97.302494,0.584,0.52,0.64,0.7143,5,7,0.6-1.0m,0.172,1.21,0.672,False,True,,good
8848935943fffff,29.135398,-95.591059,0.8467,0.644,0.996,0.75,3,4,0.6-1.0m,0.07,1.704,0.649,False,True,,good
88489175e5fffff,29.191481,-97.384134,0.67,0.67,0.67,0.2,1,5,>2.0m,0.552,5.911,3.001,False,False,cloud,cloud
8848933b17fffff,29.477924,-96.385486,0.848,0.61,1.0,0.7143,5,7,>2.0m,0.683,6.114,2.304,False,True,,good
88446c8b0bfffff,29.268439,-95.107315,0.685,0.67,0.708,0.5714,4,7,,,,,False,True,,good
884893c9a3fffff,28.999483,-95.799868,0.9283,0.815,1.0,1.0,6,6,,,,,False,True,,good
8848930dd5fffff,29.450885,-96.243098,0.6025,0.552,0.647,0.5714,4,7,,,,,False,True,,good
8848939a39fffff,28.712928,-96.401351,0.5,0.5,0.5,0.1429,1,7,,,,,False,False,cloud,cloud
8848936009fffff,29.617268,-96.065107,0.44,0.416,0.464,0.2222,2,9,1.0-2.0m,0.301,2.295,1.428,False,True,,good
884892a43bfffff,28.626303,-95.912287,0.988,0.964,1.0,1.0,5,5,0.3-0.6m,0.554,0.558,0.542,False,True,,good
88446d9b35fffff,29.862216,-96.127585,0.5833,0.488,0.704,0.6,3,5,0.0-0.1m,0.004,0.142,0.077,False,True,,good
884893d069fffff,28.684766,-96.03487,0.6175,0.51,0.691,0.6667,4,6,0.1-0.3m,0.06,0.291,0.148,False,True,,good
884891c153fffff,28.45457,-97.189487,0.5733,0.46,0.684,0.75,3,4,0.1-0.3m,0.038,0.364,0.211,False,True,,good
884893149bfffff,29.250013,-96.529715,0.53,0.506,0.554,0.4,2,5,0.3-0.6m,0.101,0.515,0.32,False,True,,good
8848931ac3fffff,29.119717,-96.221447,0.61,0.61,0.61,0.25,1,4,0.0-0.1m,0.012,0.237,0.073,False,True,,good
8848915191fffff,28.747252,-97.020369,0.762,0.672,0.854,0.8333,5,6,0.6-1.0m,0.025,1.44,0.665,False,True,,good
884893398dfffff,29.555499,-96.369327,0.46,0.46,0.46,0.2,1,5,,,,,False,False,cloud,cloud
88446da15dfffff,30.352328,-96.542772,0.59,0.59,0.59,0.1429,1,7,1.0-2.0m,0.299,2.128,1.226,False,False,cloud,cloud
8848931b61fffff,29.069394,-96.083543,0.7,0.572,0.828,0.5,2,4,0.1-0.3m,0.029,0.263,0.131,False,True,,good
8848930c4bfffff,29.380627,-96.274776,0.5175,0.486,0.547,0.8,4,5,0.1-0.3m,0.078,0.403,0.228,False,True,,good
88489ed6b7fffff,29.566389,-97.285027,0.53,0.45,0.61,0.2857,2,7,1.0-2.0m,0.26,5.155,1.376,False,True,,good
8848934053fffff,29.253193,-95.826684,0.6,0.6,0.6,0.1667,1,6,1.0-2.0m,0.935,3.509,1.987,False,False,cloud,cloud
88489024c5fffff,28.603637,-96.91686,0.6367,0.526,0.782,0.5,3,6,,,,,False,True,,good
8848937547fffff,29.553191,-96.162641,0.475,0.453,0.497,0.5714,4,7,0.0-0.1m,0.017,0.04,0.029,False,True,,good
884893845dfffff,28.944123,-96.679387,0.71,0.591,0.809,1.0,4,4,0.6-1.0m,0.065,2.226,0.828,False,True,,good
88446c935bfffff,29.040927,-95.332316,0.52,0.52,0.52,0.2,1,5,0.1-0.3m,0.024,0.446,0.149,False,False,cloud,cloud
88446c8359fffff,29.19552,-95.298926,0.9214,0.852,1.0,1.0,7,7,,,,,False,True,,good
8848916e33fffff,29.349865,-97.282297,0.465,0.396,0.558,0.5714,4,7,>2.0m,0.543,4.676,2.568,False,True,,good
8848934719fffff,29.312354,-95.929764,0.7986,0.668,0.902,1.0,7,7,,,,,False,True,,good
88489319d7fffff,29.19162,-96.12966,0.64,0.64,0.64,0.2,1,5,0.3-0.6m,0.056,1.257,0.532,False,False,cloud,cloud
884891c067fffff,28.446285,-97.204068,0.614,0.484,0.728,0.7143,5,7,0.1-0.3m,0.082,0.349,0.217,False,True,,good
8848930ac1fffff,29.274911,-96.189023,0.68,0.68,0.68,0.1667,1,6,0.3-0.6m,0.082,0.792,0.433,False,False,cloud,cloud
88446c9935fffff,29.184402,-95.078993,0.725,0.721,0.729,0.3333,2,6,,,,,False,True,,good
8848938a37fffff,28.89173,-96.365418,0.6867,0.552,0.824,0.4286,3,7,0.1-0.3m,0.11,0.414,0.244,False,True,,good
884890aa15fffff,28.102891,-96.834137,0.7075,0.561,0.904,0.5714,4,7,,,,,False,True,,good
88489e4d67fffff,30.140207,-96.698881,0.49,0.49,0.49,0.1429,1,7,,,,,False,False,cloud,cloud
8848935055fffff,29.083335,-95.838786,0.646,0.524,0.74,0.7143,5,7,,,,,False,True,,good
88489372d1fffff,29.452457,-96.18279,0.595,0.426,0.78,0.6667,4,6,0.1-0.3m,0.019,0.195,0.109,False,True,,good
88489569e3fffff,28.173723,-97.233368,0.5,0.5,0.5,0.1667,1,6,0.0-0.1m,0.005,0.035,0.019,False,False,cloud,cloud
884893c505fffff,28.976649,-96.089038,0.63,0.509,0.787,0.6667,4,6,0.1-0.3m,0.031,0.748,0.285,False,True,,good
884890a88bfffff,28.195713,-96.83922,0.49,0.4,0.604,0.8333,5,6,,,,,False,True,,good
8848932e29fffff,29.720543,-96.539489,0.6767,0.584,0.768,0.4286,3,7,>2.0m,1.977,7.101,4.015,False,True,,good
8848923603fffff,28.777218,-95.744684,1.0,1.0,1.0,1.0,7,7,,,,,False,True,,good
884893c905fffff,28.930782,-95.771703,0.4933,0.42,0.564,0.5,3,6,0.6-1.0m,0.056,1.508,0.723,False,True,,good
88489226edfffff,28.9628,-95.723207,0.628,0.546,0.726,0.7143,5,7,0.0-0.1m,0.005,0.055,0.031,False,True,,good
88446c8045fffff,29.241639,-95.300869,0.7975,0.709,0.88,1.0,4,4,0.0-0.1m,0.014,0.144,0.072,False,True,,good
88489020c5fffff,28.500133,-96.770762,0.375,0.339,0.411,0.4,2,5,0.0-0.1m,0.021,0.089,0.055,False,True,,good
8848936231fffff,29.593565,-96.089117,0.57,0.57,0.57,0.1667,1,6,1.0-2.0m,0.147,4.293,1.191,False,False,cloud,cloud
8848934405fffff,29.35854,-95.931964,0.6,0.6,0.6,0.2,1,5,,,,,False,False,cloud,cloud
88446c870bfffff,29.316066,-95.423987,0.555,0.449,0.657,0.5714,4,7,,,,,False,True,,good
884893780dfffff,29.513171,-95.909189,0.4967,0.448,0.552,0.5,3,6,0.1-0.3m,0.045,0.676,0.246,False,True,,good
884890b4dbfffff,28.066078,-97.207092,0.76,0.76,0.76,0.1429,1,7,1.0-2.0m,0.0,2.85,1.672,False,False,cloud,cloud
88489144a3fffff,29.01308,-97.171587,0.598,0.51,0.704,1.0,5,5,>2.0m,0.168,8.185,2.969,False,True,,good
884893d957fffff,28.76738,-95.829067,0.6825,0.501,0.851,1.0,8,8,,,,,False,True,,good
88489170a9fffff,29.100889,-97.318071,0.54,0.54,0.54,0.1429,1,7,,,,,False,False,cloud,cloud
8848906aa9fffff,28.543147,-96.12786,0.605,0.593,0.617,0.3333,2,6,,,,,False,True,,good
88446c94e5fffff,29.245502,-95.485928,0.972,0.92,1.0,1.0,5,5,,,,,False,True,,good
88489360a7fffff,29.694208,-96.068875,0.61,0.554,0.666,0.4,2,5,1.0-2.0m,1.818,2.068,1.96,False,True,,good
884892a4d9fffff,28.640123,-95.972818,0.835,0.8,0.875,1.0,6,6,,,,,False,True,,good
884893d107fffff,28.717225,-95.976493,0.634,0.586,0.698,1.0,5,5,0.1-0.3m,0.055,0.34,0.232,False,True,,good
88446cb311fffff,29.435912,-95.57944,0.7867,0.625,1.0,1.0,6,6,,,,,False,True,,good
88446c9497fffff,29.282986,-95.532592,1.0,1.0,1.0,1.0,5,5,,,,,False,True,,good
88489e5167fffff,29.814822,-96.752007,0.5717,0.52,0.625,1.0,6,6,>2.0m,0.945,7.0,3.575,False,True,,good
8848902601fffff,28.518431,-96.917132,0.5133,0.472,0.552,0.6,3,5,,,,,False,True,,good
8848956d95fffff,28.299074,-97.406263,0.5275,0.439,0.63,0.8,4,5,0.0-0.1m,0.008,0.093,0.036,False,True,,good
8848954f69fffff,27.782751,-97.105877,0.88,0.88,0.88,0.1429,1,7,,,,,False,False,cloud,cloud
8848934941fffff,29.290134,-95.557928,0.9943,0.984,1.0,1.0,7,7,0.1-0.3m,0.139,0.419,0.251,False,True,,good
884893d155fffff,28.70127,-95.995707,0.8575,0.689,1.0,1.0,4,4,0.0-0.1m,0.011,0.11,0.054,False,True,,good
8848933a2bfffff,29.46141,-96.424943,0.48,0.415,0.541,0.5714,4,7,0.3-0.6m,0.071,1.05,0.563,False,True,,good
88446c9b5dfffff,29.090873,-95.144975,0.758,0.714,0.822,0.8333,5,6,0.0-0.1m,0.0,0.0,0.0,False,True,,good
8848935007fffff,29.099224,-95.819507,0.71,0.71,0.71,0.25,1,4,0.0-0.1m,0.021,0.215,0.098,False,True,,good
884893b151fffff,29.05756,-96.760978,0.535,0.475,0.595,0.3333,2,6,1.0-2.0m,0.608,2.118,1.407,False,True,,good
88446c930dfffff,29.041756,-95.292463,0.67,0.638,0.702,0.3333,2,6,0.3-0.6m,0.074,0.665,0.427,False,True,,good
88489356cdfffff,29.163152,-96.037968,0.635,0.607,0.663,0.3333,2,6,0.1-0.3m,0.045,0.438,0.238,False,True,,good
88489338a1fffff,29.56954,-96.420481,0.42,0.42,0.42,0.1667,1,6,1.0-2.0m,0.032,2.981,1.016,False,False,cloud,cloud
88446cd62bfffff,29.170319,-95.008674,0.83,0.83,0.83,0.1667,1,6,,,,,False,False,cloud,cloud
88446c99d3fffff,29.213632,-95.159956,0.71,0.71,0.71,0.1667,1,6,0.1-0.3m,0.077,0.423,0.203,False,False,cloud,cloud
8848902b3dfffff,28.492754,-96.52007,0.66,0.66,0.66,0.1429,1,7,,,,,False,False,cloud,cloud
884890aab3fffff,28.17164,-96.862895,1.0,1.0,1.0,0.1667,1,6,,,,,False,False,cloud,cloud
884893d9a5fffff,28.829526,-95.811981,0.78,0.78,0.78,0.1667,1,6,,,,,False,False,cloud,cloud
88446c9183fffff,29.164569,-95.307605,0.8375,0.632,0.997,0.8,4,5,,,,,False,True,,good
8848938285fffff,28.854588,-96.574165,0.765,0.625,0.875,0.8571,6,7,1.0-2.0m,0.148,2.791,1.02,False,True,,good
88446c826dfffff,29.18753,-95.313566,0.925,0.893,0.973,1.0,4,4,,,,,False,True,,good
88489022edfffff,28.445527,-96.782817,0.61,0.498,0.722,0.2857,2,7,,,,,False,True,,good
884893462dfffff,29.304287,-95.944433,0.4,0.4,0.4,0.25,1,4,,,,,False,True,,good
88446cd4a1fffff,29.278015,-95.002969,0.91,0.91,0.91,0.1667,1,6,,,,,False,False,cloud,cloud
88489318ebfffff,29.175148,-96.168999,0.54,0.478,0.614,0.375,3,8,,,,,False,True,,good
88446c9849fffff,29.128815,-95.171444,0.862,0.814,0.918,0.8333,5,6,0.3-0.6m,0.085,0.815,0.475,False,True,,good
88446db561fffff,30.294903,-96.676868,0.7767,0.546,0.962,0.5,3,6,,,,,False,True,,good
88446da64bfffff,30.391995,-96.789036,0.66,0.574,0.77,0.7143,5,7,0.6-1.0m,0.23,1.244,0.761,False,True,,good
8848906cd1fffff,28.693162,-96.285227,0.5525,0.502,0.601,0.6667,4,6,0.1-0.3m,0.067,0.404,0.176,False,True,,good
8848939011fffff,28.708056,-96.561411,0.77,0.696,0.828,1.0,4,4,,,,,False,True,,good
8848906431fffff,28.612731,-96.391208,0.39,0.39,0.39,0.2,1,5,,,,,False,False,cloud,cloud
884893084bfffff,29.276491,-96.128823,0.5043,0.466,0.558,0.875,7,8,1.0-2.0m,0.956,1.735,1.373,False,True,,good
8848922e51fffff,28.981942,-95.564258,0.53,0.53,0.53,0.25,1,4,0.3-0.6m,0.101,0.981,0.553,False,True,,good
8848902829fffff,28.530589,-96.547067,0.605,0.464,0.75,0.5714,4,7,0.3-0.6m,0.15,0.505,0.325,False,True,,good
884892a6b1fffff,28.624701,-95.972083,0.8075,0.783,0.834,1.0,4,4,,,,,False,True,,good
8848935369fffff,29.015616,-95.770612,0.688,0.43,0.888,0.8333,5,6,0.1-0.3m,0.044,0.185,0.117,False,True,,good
8848930f11fffff,29.366024,-96.243856,0.9133,0.88,0.944,0.5,3,6,0.3-0.6m,0.048,1.025,0.406,False,True,,good
8848938e87fffff,29.025284,-96.553058,0.85,0.82,0.9,0.6667,4,6,0.6-1.0m,0.267,1.005,0.718,False,True,,good
88446c8093fffff,29.34025,-95.370019,0.5,0.5,0.5,0.1429,1,7,,,,,False,False,cloud,cloud
8848934319fffff,29.207963,-95.784501,0.72,0.656,0.784,0.2857,2,7,>2.0m,0.97,8.747,4.79,False,True,,good
8848923651fffff,28.761313,-95.763912,1.0,1.0,1.0,1.0,6,6,,,,,False,True,,good
884891da93fffff,28.369638,-97.179552,0.5,0.464,0.544,0.5,3,6,,,,,False,True,,good
88489306c1fffff,29.320131,-96.508234,0.548,0.476,0.61,0.8333,5,6,0.0-0.1m,0.009,0.009,0.009,False,True,,good
88446cb361fffff,29.406013,-95.538031,0.9567,0.87,1.0,1.0,6,6,0.1-0.3m,0.111,0.409,0.24,False,True,,good
88446c9535fffff,29.232018,-95.395371,0.7167,0.61,0.834,0.6,3,5,,,,,False,True,,good
8848938637fffff,28.936247,-96.683988,0.49,0.49,0.49,0.1429,1,7,,,,,False,False,cloud,cloud
88489035b5fffff,28.489212,-96.865375,0.84,0.76,0.9,1.0,4,4,0.1-0.3m,0.112,0.429,0.298,False,True,,good
88446da337fffff,30.34451,-96.547434,1.0,1.0,1.0,0.1429,1,7,1.0-2.0m,1.078,1.792,1.361,False,False,cloud,cloud
884893d86bfffff,28.750943,-95.868236,0.69,0.586,0.794,0.4,2,5,,,,,False,True,,good
884891c32dfffff,28.40132,-97.161313,0.52,0.52,0.52,0.1667,1,6,,,,,False,False,cloud,cloud
8848930d87fffff,29.466814,-96.223767,0.65,0.59,0.715,1.0,6,6,0.6-1.0m,0.421,1.343,0.828,False,True,,good
884893ab29fffff,29.234004,-96.549004,0.53,0.53,0.53,0.2,1,5,0.6-1.0m,0.064,1.272,0.738,False,False,cloud,cloud
884890a8d9fffff,28.17955,-96.858331,0.615,0.555,0.675,0.4,2,5,0.0-0.1m,0.053,0.071,0.064,False,True,,good
88446db511fffff,30.324573,-96.719165,0.4867,0.442,0.546,0.4286,3,7,1.0-2.0m,0.758,1.856,1.377,False,True,,good
88446cb1d7fffff,29.528162,-95.583562,0.39,0.39,0.39,0.25,1,4,>2.0m,0.636,3.787,2.624,False,True,,good
8848916059fffff,29.194325,-97.303412,0.6167,0.488,0.72,0.75,3,4,,,,,False,True,,good
8848915143fffff,28.66377,-96.970431,0.49,0.454,0.518,0.75,3,4,>2.0m,0.424,6.583,2.224,False,True,,good
884891422dfffff,28.78641,-97.007502,0.43,0.406,0.454,0.5,2,4,,,,,False,True,,good
8848939a89fffff,28.742603,-96.44295,0.61,0.61,0.61,0.1429,1,7,>2.0m,0.737,4.313,3.0,False,False,cloud,cloud
88446d995dfffff,29.877597,-96.128348,0.49,0.49,0.49,0.1667,1,6,,,,,False,False,cloud,cloud
8848930985fffff,29.355053,-96.072402,0.925,0.846,0.988,1.0,4,4,1.0-2.0m,0.131,2.404,1.116,False,True,,good
88489e4ea3fffff,30.159173,-96.847227,0.8486,0.662,0.97,1.0,7,7,1.0-2.0m,0.575,2.75,1.79,False,True,,good
884893c553fffff,28.975574,-96.129058,0.54,0.54,0.54,0.1429,1,7,0.6-1.0m,0.774,1.232,0.999,False,False,cloud,cloud
884893b065fffff,29.049366,-96.775628,0.75,0.75,0.75,0.1429,1,7,1.0-2.0m,0.321,1.877,1.172,False,False,cloud,cloud
88446c830bfffff,29.211294,-95.279621,0.83,0.798,0.862,0.2857,2,7,,,,,False,True,,good
884890b217fffff,27.886219,-97.036857,0.66,0.66,0.66,0.2,1,5,0.0-0.1m,0.023,0.04,0.029,False,False,cloud,cloud
884890a301fffff,28.029906,-96.92503,0.695,0.451,0.939,0.3333,2,6,0.3-0.6m,0.076,0.658,0.415,False,True,,good
884893d557fffff,28.812981,-96.146096,0.4,0.4,0.4,0.1667,1,6,>2.0m,0.298,4.961,2.375,False,False,cloud,cloud
8848931989fffff,29.184311,-96.114246,0.6633,0.48,0.815,1.0,6,6,0.6-1.0m,0.125,2.068,0.744,False,True,,good
88489066a9fffff,28.587903,-96.444968,1.0,1.0,1.0,0.1429,1,7,,,,,False,False,cloud,cloud
884890a9c7fffff,28.182991,-96.758559,0.735,0.68,0.79,0.8571,6,7,0.1-0.3m,0.064,0.227,0.174,False,True,,good
8848914769fffff,28.868502,-97.097725,0.7283,0.62,0.845,1.0,6,6,1.0-2.0m,0.301,2.911,1.894,False,True,,good
88446c821dfffff,29.217466,-95.354783,0.58,0.58,0.58,0.25,1,4,,,,,False,True,,good
8848932f65fffff,29.707349,-96.457957,0.45,0.45,0.45,0.1667,1,6,0.6-1.0m,0.245,1.543,0.88,False,False,cloud,cloud
88489e6b45fffff,30.335744,-96.872414,0.35,0.35,0.35,0.1667,1,6,0.1-0.3m,0.072,0.365,0.288,False,False,cloud,cloud
88446c9133fffff,29.134627,-95.266431,0.725,0.613,0.865,0.8,4,5,,,,,False,True,,good
8848926481fffff,29.050765,-95.22804,0.91,0.79,0.99,0.8571,6,7,0.3-0.6m,0.065,0.951,0.556,False,True,,good
88446c8181fffff,29.319083,-95.274153,0.63,0.63,0.63,0.25,1,4,,,,,False,True,,good
8848902201fffff,28.414942,-96.771138,0.46,0.46,0.46,0.5,2,4,,,,,False,True,,good
8848916c5bfffff,29.365311,-97.283214,0.74,0.56,0.888,1.0,4,4,1.0-2.0m,0.085,5.548,1.72,False,True,,good
884893636dfffff,29.549603,-95.9964,0.51,0.51,0.51,0.1429,1,7,0.0-0.1m,0.049,0.111,0.083,False,False,cloud,cloud
8848935457fffff,29.195238,-95.98937,0.6133,0.528,0.688,0.4286,3,7,0.1-0.3m,0.211,0.301,0.254,False,True,,good
88489308e9fffff,29.330278,-96.136501,0.65,0.5,0.745,1.0,6,6,,,,,False,True,,good
88446c975dfffff,29.13826,-95.461262,0.7943,0.624,0.946,1.0,7,7,>2.0m,2.135,3.027,2.665,False,True,,good
884890a83dfffff,28.158936,-96.782237,0.49,0.468,0.508,0.5,3,6,0.1-0.3m,0.082,0.227,0.183,False,True,,good
8848930099fffff,29.30139,-96.351233,0.71,0.634,0.81,0.5,3,6,0.6-1.0m,0.126,1.726,0.62,False,True,,good
8848900cc1fffff,28.292527,-96.489656,0.415,0.395,0.435,0.3333,2,6,0.0-0.1m,0.004,0.021,0.012,False,True,,good
88489361e3fffff,29.67246,-96.012412,0.6,0.524,0.7,0.75,3,4,,,,,False,True,,good
88489352cdfffff,29.058869,-95.892697,0.915,0.887,0.943,0.3333,2,6,0.1-0.3m,0.054,0.421,0.223,False,True,,good
884893258bfffff,29.770633,-96.678719,0.625,0.47,0.755,1.0,6,6,>2.0m,2.024,10.312,5.467,False,True,,good
88446c8a6dfffff,29.244742,-95.141273,0.674,0.486,0.848,0.7143,5,7,,,,,False,True,,good
88446c9983fffff,29.221788,-95.13535,0.972,0.924,1.0,1.0,5,5,0.0-0.1m,0.012,0.238,0.099,False,True,,good
88446c95d3fffff,29.261094,-95.476609,0.55,0.528,0.568,0.6,3,5,,,,,False,True,,good
88446c86bdfffff,29.383479,-95.511997,0.9914,0.974,1.0,1.0,7,7,1.0-2.0m,0.179,1.717,1.025,False,True,,good
884890b5c9fffff,28.046399,-97.110898,0.58,0.58,0.58,0.25,1,4,,,,,False,True,,good
88489550a5fffff,27.592212,-97.214687,0.45,0.45,0.45,0.1429,1,7,,,,,False,False,cloud,cloud
884891536bfffff,28.609142,-96.982424,0.58,0.525,0.639,0.5714,4,7,0.6-1.0m,0.0,4.877,0.911,False,True,,good
884893a8b1fffff,29.362585,-96.641505,0.4775,0.399,0.57,0.5714,4,7,1.0-2.0m,0.882,1.57,1.275,False,True,,good
8848914455fffff,28.9358,-97.167097,0.6817,0.49,0.87,0.8571,6,7,>2.0m,0.581,6.625,3.848,False,True,,good
8848933b67fffff,29.448202,-96.343657,1.0,1.0,1.0,1.0,7,7,>2.0m,1.549,3.147,2.286,False,True,,good
884893d909fffff,28.760055,-95.813754,0.545,0.517,0.573,0.3333,2,6,0.0-0.1m,0.019,0.038,0.029,False,True,,good
8848930e25fffff,29.357919,-96.258536,0.465,0.397,0.533,0.5,2,4,>2.0m,0.737,6.613,2.324,False,True,,good
8848931a25fffff,29.091051,-96.139755,0.65,0.65,0.65,0.1667,1,6,,,,,False,False,cloud,cloud
8848935143fffff,29.077454,-95.763459,0.43,0.386,0.486,0.5714,4,7,0.3-0.6m,0.04,0.82,0.389,False,True,,good
884892a48bfffff,28.65608,-95.953613,0.9071,0.682,1.0,0.875,7,8,0.0-0.1m,0.013,0.018,0.017,False,True,,good
8848934767fffff,29.298175,-95.878929,0.805,0.67,0.925,1.0,6,6,,,,,False,True,,good
88446c9449fffff,29.176178,-95.487896,0.65,0.584,0.72,0.5,3,6,0.3-0.6m,0.058,0.692,0.329,False,True,,good
88446c8533fffff,29.401531,-95.382648,0.6467,0.55,0.735,0.8571,6,7,0.1-0.3m,0.226,0.226,0.226,False,True,,good
8848937635fffff,29.535463,-96.252401,0.8033,0.595,0.95,0.8571,6,7,,,,,False,True,,good
88489151e1fffff,28.717705,-96.978489,0.98,0.964,0.996,0.3333,2,6,>2.0m,2.626,2.626,2.626,False,True,,good
88446da24bfffff,30.288161,-96.640928,0.87,0.87,0.87,0.1429,1,7,1.0-2.0m,0.196,2.395,1.441,False,False,cloud,cloud
8848954005fffff,27.694685,-97.175694,0.43,0.414,0.446,0.3333,2,6,0.1-0.3m,0.021,0.249,0.123,False,True,,good
88489339ddfffff,29.547117,-96.394103,0.672,0.546,0.79,1.0,5,5,1.0-2.0m,0.22,2.07,1.139,False,True,,good
88489374a9fffff,29.620286,-96.251649,0.7,0.7,0.7,0.1667,1,6,,,,,False,False,cloud,cloud
8848932ac7fffff,29.653578,-96.450093,0.6225,0.464,0.787,0.8,4,5,0.6-1.0m,0.07,1.441,0.647,False,True,,good
884891d81dfffff,28.35707,-97.098584,0.525,0.449,0.601,0.5,2,4,0.0-0.1m,0.015,0.187,0.087,False,True,,good
88489e4f41fffff,30.0691,-96.760957,0.7233,0.578,0.85,0.5,3,6,>2.0m,1.591,3.661,2.572,False,True,,good
88489266a9fffff,28.996642,-95.240744,0.832,0.808,0.856,0.7143,5,7,0.1-0.3m,0.001,0.291,0.231,False,True,,good
88446c1349fffff,29.399629,-95.077675,0.53,0.53,0.53,0.25,1,4,,,,,False,True,,good
88489266a7fffff,29.012223,-95.231426,0.79,0.79,0.79,0.1429,1,7,0.0-0.1m,0.001,0.001,0.001,False,False,cloud,cloud
88446cb0ebfffff,29.511932,-95.622958,0.71,0.571,0.849,0.5714,4,7,0.6-1.0m,0.37,1.197,0.792,False,True,,good
884891c905fffff,28.516363,-96.977208,0.5775,0.47,0.707,1.0,4,4,,,,,False,True,,good
88489374abfffff,29.627854,-96.257072,0.74,0.65,0.834,0.6667,4,6,0.3-0.6m,0.228,0.981,0.581,False,True,,good
8848902429fffff,28.574412,-96.865066,0.732,0.668,0.786,1.0,5,5,1.0-2.0m,0.085,2.947,1.059,False,True,,good
884891d81bfffff,28.364265,-97.114039,0.5517,0.495,0.605,1.0,6,6,0.3-0.6m,0.082,1.019,0.595,False,True,,good
8848934769fffff,29.282537,-95.888221,0.9,0.9,0.9,0.1429,1,7,0.3-0.6m,0.119,0.489,0.302,False,False,cloud,cloud
8848930b11fffff,29.261867,-96.097975,0.5617,0.49,0.625,0.8571,6,7,>2.0m,2.66,2.748,2.706,False,True,,good
884893a8b3fffff,29.370148,-96.646954,0.41,0.41,0.41,0.1667,1,6,0.3-0.6m,0.111,0.732,0.471,False,False,cloud,cloud
88446c9985fffff,29.214387,-95.120088,1.0,1.0,1.0,1.0,6,6,0.0-0.1m,0.022,0.151,0.085,False,True,,good
88489302c1fffff,29.216188,-96.361952,0.69,0.69,0.69,0.1429,1,7,0.6-1.0m,0.588,0.756,0.671,False,False,cloud,cloud
88446c9135fffff,29.12724,-95.251159,0.56,0.504,0.632,0.4286,3,7,,,,,False,True,,good
