h3_index,lat,lon,hazard_probability_pct,hazard_probability_p10,hazard_probability_p90,confidence_overall,n_valid,n_total,depth_bin_m,depth_p10_m,depth_p90_m,depth_mean_m,is_perm_water,qa_flag,qa_reason,coverage_flag
88446cb6c3fffff,29.561423,-95.821018,0.61,0.496,0.712,0.5,3,6,>2.0m,0.424,10.253,5.906,False,True,,good
88446c9897fffff,29.235627,-95.215746,0.48,0.456,0.504,0.4,2,5,0.1-0.3m,0.017,0.261,0.139,False,True,,good
8848936b6dfffff,29.607566,-95.823178,0.43,0.43,0.43,0.25,1,4,0.3-0.6m,0.084,1.157,0.596,False,True,,good
8848914719fffff,28.898028,-97.139716,0.8643,0.582,1.0,1.0,7,7,1.0-2.0m,0.285,3.968,1.799,False,True,,good
8848932f15fffff,29.737054,-96.499935,0.8,0.736,0.864,0.2857,2,7,1.0-2.0m,0.431,2.858,1.802,False,True,,good
88489e4cc9fffff,30.167015,-96.842585,0.53,0.53,0.53,0.1429,1,7,>2.0m,1.266,3.028,2.27,False,False,cloud,cloud
88489301d3fffff,29.29547,-96.285552,0.54,0.54,0.54,0.25,1,4,,,,,False,True,,good
88446c9047fffff,29.087067,-95.334269,0.908,0.786,0.992,1.0,5,5,,,,,False,True,,good
88446c82bbfffff,29.28614,-95.3827,0.8929,0.866,0.92,1.0,7,7,,,,,False,True,,good
884890b03dfffff,27.934868,-96.979671,0.38,0.38,0.38,0.25,1,4,,,,,False,True,,good
884890a127fffff,28.101843,-96.864056,0.6514,0.55,0.796,1.0,7,7,0.1-0.3m,0.084,0.327,0.242,False,True,,good
8848930899fffff,29.360041,-96.178185,0.8233,0.695,0.94,1.0,6,6,,,,,False,True,,good
88489a4203fffff,31.071914,-96.673636,0.4133,0.404,0.42,0.6,3,5,>2.0m,0.344,4.222,2.091,False,True,,good
884893b015fffff,29.078974,-96.817528,0.455,0.443,0.467,0.5,2,4,>2.0m,0.305,5.87,2.616,False,True,,good
88446c125bfffff,29.420944,-95.173451,0.59,0.59,0.59,0.1429,1,7,,,,,False,False,cloud,cloud
88446db425fffff,30.316467,-96.733973,0.6533,0.55,0.75,0.75,3,4,0.3-0.6m,0.23,0.968,0.581,False,True,,good
88489e5a55fffff,29.815696,-96.721672,0.4833,0.464,0.504,0.375,3,8,1.0-2.0m,0.892,2.131,1.368,False,True,,good
8848932189fffff,29.659203,-96.526131,0.6167,0.528,0.696,0.5,3,6,0.3-0.6m,0.125,0.679,0.384,False,True,,good
